column,row,field,channel,rel_fp
D,11,6,3,MFGTMP_220411120001/MFGTMP_220411120001_D11f06d3.TIF
C,11,3,0,MFGTMP_220411120001/MFGTMP_220411120001_C11f03d0.TIF
C,6,5,0,MFGTMP_220411120001/MFGTMP_220411120001_C06f05d0.TIF
D,6,0,3,MFGTMP_220411120001/MFGTMP_220411120001_D06f00d3.TIF
B,9,2,3,MFGTMP_220411120001/MFGTMP_220411120001_B09f02d3.TIF
E,9,7,0,MFGTMP_220411120001/MFGTMP_220411120001_E09f07d0.TIF
E,8,7,0,MFGTMP_220411120001/MFGTMP_220411120001_E08f07d0.TIF
B,8,2,3,MFGTMP_220411120001/MFGTMP_220411120001_B08f02d3.TIF
E,9,7,2,MFGTMP_220411120001/MFGTMP_220411120001_E09f07d2.TIF
B,9,2,1,MFGTMP_220411120001/MFGTMP_220411120001_B09f02d1.TIF
B,8,2,1,MFGTMP_220411120001/MFGTMP_220411120001_B08f02d1.TIF
E,8,7,2,MFGTMP_220411120001/MFGTMP_220411120001_E08f07d2.TIF
G,4,5,4,MFGTMP_220411120001/MFGTMP_220411120001_G04f05d4.TIF
C,7,5,2,MFGTMP_220411120001/MFGTMP_220411120001_C07f05d2.TIF
D,7,0,1,MFGTMP_220411120001/MFGTMP_220411120001_D07f00d1.TIF
D,10,6,1,MFGTMP_220411120001/MFGTMP_220411120001_D10f06d1.TIF
C,10,3,2,MFGTMP_220411120001/MFGTMP_220411120001_C10f03d2.TIF
G,5,5,4,MFGTMP_220411120001/MFGTMP_220411120001_G05f05d4.TIF
D,6,0,1,MFGTMP_220411120001/MFGTMP_220411120001_D06f00d1.TIF
C,6,5,2,MFGTMP_220411120001/MFGTMP_220411120001_C06f05d2.TIF
C,11,3,2,MFGTMP_220411120001/MFGTMP_220411120001_C11f03d2.TIF
D,11,6,1,MFGTMP_220411120001/MFGTMP_220411120001_D11f06d1.TIF
B,3,4,4,MFGTMP_220411120001/MFGTMP_220411120001_B03f04d4.TIF
G,8,6,0,MFGTMP_220411120001/MFGTMP_220411120001_G08f06d0.TIF
G,9,6,0,MFGTMP_220411120001/MFGTMP_220411120001_G09f06d0.TIF
B,2,4,4,MFGTMP_220411120001/MFGTMP_220411120001_B02f04d4.TIF
F,11,7,3,MFGTMP_220411120001/MFGTMP_220411120001_F11f07d3.TIF
F,6,1,3,MFGTMP_220411120001/MFGTMP_220411120001_F06f01d3.TIF
B,6,8,3,MFGTMP_220411120001/MFGTMP_220411120001_B06f08d3.TIF
F,10,7,3,MFGTMP_220411120001/MFGTMP_220411120001_F10f07d3.TIF
F,7,1,3,MFGTMP_220411120001/MFGTMP_220411120001_F07f01d3.TIF
B,7,8,3,MFGTMP_220411120001/MFGTMP_220411120001_B07f08d3.TIF
B,9,0,3,MFGTMP_220411120001/MFGTMP_220411120001_B09f00d3.TIF
E,9,5,0,MFGTMP_220411120001/MFGTMP_220411120001_E09f05d0.TIF
E,8,5,0,MFGTMP_220411120001/MFGTMP_220411120001_E08f05d0.TIF
B,8,0,3,MFGTMP_220411120001/MFGTMP_220411120001_B08f00d3.TIF
C,10,1,0,MFGTMP_220411120001/MFGTMP_220411120001_C10f01d0.TIF
D,10,4,3,MFGTMP_220411120001/MFGTMP_220411120001_D10f04d3.TIF
D,7,2,3,MFGTMP_220411120001/MFGTMP_220411120001_D07f02d3.TIF
C,7,7,0,MFGTMP_220411120001/MFGTMP_220411120001_C07f07d0.TIF
G,10,8,0,MFGTMP_220411120001/MFGTMP_220411120001_G10f08d0.TIF
D,11,4,3,MFGTMP_220411120001/MFGTMP_220411120001_D11f04d3.TIF
C,11,1,0,MFGTMP_220411120001/MFGTMP_220411120001_C11f01d0.TIF
C,6,7,0,MFGTMP_220411120001/MFGTMP_220411120001_C06f07d0.TIF
D,6,2,3,MFGTMP_220411120001/MFGTMP_220411120001_D06f02d3.TIF
G,11,8,0,MFGTMP_220411120001/MFGTMP_220411120001_G11f08d0.TIF
D,8,8,1,MFGTMP_220411120001/MFGTMP_220411120001_D08f08d1.TIF
